id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
218831,Sea-life apartment,137588,Dimitrios,,Kalamaria,40.57274,22.95667,Entire home/apt,90,4,1,2020-02-02,0.02,1,358,0,00000049330
376955,3 bedroom 145m2 apartment close to the seaside,1894819,Olivia,,Thessaloniki,40.59683,22.95394,Entire home/apt,50,28,19,2017-05-31,0.12,1,363,0,
483128,Stel's apt in Thessaloniki center!,2358521,Stelios,,Thessaloniki,40.63942,22.95121,Entire home/apt,38,2,402,2024-12-15,2.63,1,356,26,00000502736
494816,"City View Apartment  ""Thessaloniki""",1977386,Cristina&Tomas! Skgbnb,,Neapolis – Sykeon,40.64763,22.94309,Entire home/apt,,20,46,2024-02-03,0.32,33,208,2,00001900000
550239,Kripis Studio Thessaloniki No1,1193625,Olga,,Thessaloniki,40.64008,22.95598,Entire home/apt,66,7,8,2023-10-17,0.05,6,248,0,1133335
798646,LUXURIOUS & STYLISH APARTMENT IN THESSALONIKI,2890501,Francy,,Pilea – Chortiatis,40.58628,23.03393,Entire home/apt,95,7,7,2021-07-14,0.09,1,85,0,00001204888
817373,Hermes - Cosy central apartment,4293278,Andreas,,Thessaloniki,40.63968,22.93879,Entire home/apt,51,2,208,2024-10-13,1.42,2,268,2,00000057587
912803,This Must Be The Place,3835591,Olga,,Pavlou Mela,40.65929,22.93068,Private room,20,2,147,2024-11-07,1.07,1,355,16,00000477581
1006153,Kripis Studio Thessaloniki No4,1193625,Olga,,Thessaloniki,40.64058,22.95678,Entire home/apt,85,7,18,2024-12-01,0.19,6,125,3,1133335
1007872,Cozy studio in old city near city center,5543143,Giannis,,Thessaloniki,40.6378,22.9571,Entire home/apt,32,3,59,2024-12-15,0.65,1,169,9,00000332400
1013340,Kripis Studio Thessaloniki No2,1193625,Olga,,Thessaloniki,40.63974,22.95704,Entire home/apt,66,7,6,2023-11-03,0.07,6,89,0,1133335
1058022,Afrodite - Pantheon apartments,4293278,Andreas,,Thessaloniki,40.63955,22.93885,Entire home/apt,54,2,106,2022-12-18,0.75,2,267,0,00000126170
